Date,Region,Value
2023-01-09,HSE West and North West,2.4192738853503184
2023-01-10,HSE Dublin and Midlands,2.2903499182561307
2023-01-10,HSE Dublin and North East,3.3916628571428573
2023-01-10,HSE Dublin and South East,3.1042837532907113
2023-01-10,HSE Mid West,0.9085900169204738
2023-01-10,HSE South West,2.441584615384615
2023-01-10,HSE West and North West,1.9051781847133757
2023-01-11,HSE Dublin and Midlands,3.0831633514986376
2023-01-11,HSE Dublin and North East,2.377660559646539
2023-01-11,HSE Dublin and South East,3.067762767957879
2023-01-11,HSE Mid West,0.9085900169204738
2023-01-11,HSE South West,2.2196223776223776
2023-01-11,HSE West and North West,1.874937261146497
2023-01-12,HSE Dublin and Midlands,3.0831633514986376
2023-01-12,HSE Dublin and North East,2.5175229455081003
2023-01-12,HSE Dublin and South East,1.9356122226400905
2023-01-12,HSE Mid West,0.9435357868020305
2023-01-12,HSE South West,2.404590909090909
2023-01-12,HSE West and North West,1.7539735668789809
2023-01-13,HSE Dublin and Midlands,2.9657095095367847
2023-01-13,HSE Dublin and North East,1.5734518409425626
2023-01-13,HSE Dublin and South East,2.0086541933057545
2023-01-13,HSE Mid West,0.4542950084602369
2023-01-13,HSE South West,2.182628671328671
2023-01-13,HSE West and North West,1.905178184713376
2023-01-14,HSE Dublin and Midlands,1.9967153133514988
2023-01-14,HSE Dublin and North East,0.41958715758468335
2023-01-14,HSE Dublin and South East,1.3147554719819483
2023-01-14,HSE Mid West,0.3145119289340102
2023-01-14,HSE South West,1.6277230769230768
2023-01-14,HSE West and North West,1.874937261146497
2023-01-15,HSE Dublin and Midlands,1.8792614713896458
2023-01-15,HSE Dublin and North East,0.9091055081001473
2023-01-15,HSE Dublin and South East,1.4608394133132758
2023-01-15,HSE Mid West,0.8736442470389172
2023-01-15,HSE South West,1.2207923076923075
2023-01-15,HSE West and North West,2.0563828025477706
2023-01-16,HSE Dublin and Midlands,2.1141691553133515
2023-01-16,HSE Dublin and North East,1.7832454197349041
2023-01-16,HSE Dublin and South East,1.9721332079729224
2023-01-16,HSE Mid West,0.9784815566835872
2023-01-16,HSE South West,1.8126916083916083
2023-01-16,HSE West and North West,2.9031286624203823
2023-01-17,HSE Dublin and Midlands,3.0537998910081745
2023-01-17,HSE Dublin and North East,2.2028325773195876
2023-01-17,HSE Dublin and South East,2.2277801053027453
2023-01-17,HSE Mid West,0.7688069373942471
2023-01-17,HSE South West,2.552565734265734
2023-01-17,HSE West and North West,3.3567425159235666
2023-01-18,HSE Dublin and Midlands,3.523615258855586
2023-01-18,HSE Dublin and North East,2.1678669808541975
2023-01-18,HSE Dublin and South East,2.410385031966905
2023-01-18,HSE Mid West,1.2580477157360408
2023-01-18,HSE South West,2.3306034965034965
2023-01-18,HSE West and North West,3.145056050955414
2023-01-19,HSE Dublin and Midlands,2.9657095095367847
2023-01-19,HSE Dublin and North East,1.6783486303387334
2023-01-19,HSE Dublin and South East,2.3738640466340732
2023-01-19,HSE Mid West,1.013427326565144
2023-01-19,HSE South West,2.4415846153846155
2023-01-19,HSE West and North West,2.751924044585987
2023-01-20,HSE Dublin and Midlands,2.4958941416893734
2023-01-20,HSE Dublin and North East,1.608417437407953
2023-01-20,HSE Dublin and South East,2.373864046634073
2023-01-20,HSE Mid West,1.1881561759729273
2023-01-20,HSE South West,1.9606664335664334
2023-01-20,HSE West and North West,2.4192738853503184
2023-01-21,HSE Dublin and Midlands,1.0570845776566757
2023-01-21,HSE Dublin and North East,0.06993119293078055
2023-01-21,HSE Dublin and South East,0.8034616773223017
2023-01-21,HSE Mid West,0.3494576988155669
2023-01-21,HSE South West,1.1837986013986013
2023-01-21,HSE West and North West,1.5725280254777072
2023-01-22,HSE Dublin and Midlands,1.5268999455040873
2023-01-22,HSE Dublin and North East,0.5594495434462444
2023-01-22,HSE Dublin and South East,0.6208567506581422
2023-01-22,HSE Mid West,1.0833188663282574
2023-01-22,HSE South West,1.4797482517482516
2023-01-22,HSE West and North West,2.0866237261146496
2023-01-23,HSE Dublin and Midlands,1.9086249318801092
2023-01-23,HSE Dublin and North East,1.1538646833578792
2023-01-23,HSE Dublin and South East,1.679965325310267
2023-01-23,HSE Mid West,1.432776565143824
2023-01-23,HSE South West,1.9606664335664334
2023-01-23,HSE West and North West,2.8728877388535032
2023-01-24,HSE Dublin and Midlands,2.7601652861035424
2023-01-24,HSE Dublin and North East,1.6783486303387334
2023-01-24,HSE Dublin and South East,2.300822075968409
2023-01-24,HSE Mid West,1.1182646362098139
2023-01-24,HSE South West,3.144465034965035
2023-01-24,HSE West and North West,2.2983101910828028
2023-01-25,HSE Dublin and Midlands,2.2022595367847413
2023-01-25,HSE Dublin and North East,1.8531766126656848
2023-01-25,HSE Dublin and South East,2.410385031966905
2023-01-25,HSE Mid West,1.1182646362098139
2023-01-25,HSE South West,2.774527972027972
2023-01-25,HSE West and North West,2.328551114649682
2023-01-26,HSE Dublin and Midlands,1.6443537874659402
2023-01-26,HSE Dublin and North East,1.1538646833578792
2023-01-26,HSE Dublin and South East,1.9721332079729224
2023-01-26,HSE Mid West,0.663969627749577
2023-01-26,HSE South West,2.5895594405594404
2023-01-26,HSE West and North West,2.358792038216561
2023-01-27,HSE Dublin and Midlands,2.172896076294278
2023-01-27,HSE Dublin and North East,1.6433830338733433
2023-01-27,HSE Dublin and South East,2.446906017299737
2023-01-27,HSE Mid West,0.7688069373942471
2023-01-27,HSE South West,2.256616083916084
2023-01-27,HSE West and North West,1.9959009554140128
2023-01-28,HSE Dublin and Midlands,1.1451749591280653
2023-01-28,HSE Dublin and North East,0.41958715758468335
2023-01-28,HSE Dublin and South East,0.7304197066566379
2023-01-28,HSE Mid West,0.0
2023-01-28,HSE South West,1.4797482517482519
2023-01-28,HSE West and North West,1.512046178343949
2023-01-29,HSE Dublin and Midlands,1.5268999455040873
2023-01-29,HSE Dublin and North East,0.48951835051546394
2023-01-29,HSE Dublin and South East,1.716486310643099
2023-01-29,HSE Mid West,0.5591323181049069
2023-01-29,HSE South West,1.9976601398601397
2023-01-29,HSE West and North West,1.542287101910828
2023-01-30,HSE Dublin and Midlands,2.3197133787465942
2023-01-30,HSE Dublin and North East,1.1538646833578794
2023-01-30,HSE Dublin and South East,2.2277801053027453
2023-01-30,HSE Mid West,0.9784815566835872
2023-01-30,HSE South West,2.145634965034965
2023-01-30,HSE West and North West,1.9656600318471338
2023-01-31,HSE Dublin and Midlands,2.5546210626702996
2023-01-31,HSE Dublin and North East,1.3286926656848306
2023-01-31,HSE Dublin and South East,1.8990912373072584
2023-01-31,HSE Mid West,1.0483730964467006
2023-01-31,HSE South West,2.29360979020979
2023-01-31,HSE West and North West,1.874937261146497
2023-02-01,HSE Dublin and Midlands,2.3784402997275205
2023-02-01,HSE Dublin and North East,1.2587614727540501
2023-02-01,HSE Dublin and South East,2.3008220759684095
2023-02-01,HSE Mid West,1.1532104060913706
2023-02-01,HSE South West,2.552565734265734
2023-02-01,HSE West and North West,2.9938514331210193
2023-02-02,HSE Dublin and Midlands,2.4078037602179836
2023-02-02,HSE Dublin and North East,1.0839334904270987
2023-02-02,HSE Dublin and South East,1.8990912373072586
2023-02-02,HSE Mid West,1.2929934856175973
2023-02-02,HSE South West,2.663546853146853
2023-02-02,HSE West and North West,2.2983101910828028
2023-02-03,HSE Dublin and Midlands,2.4078037602179836
2023-02-03,HSE Dublin and North East,1.3286926656848306
2023-02-03,HSE Dublin and South East,1.5704023693117715
2023-02-03,HSE Mid West,1.3628850253807108
2023-02-03,HSE South West,2.071647552447552
2023-02-03,HSE West and North West,2.4495148089171974
2023-02-04,HSE Dublin and Midlands,1.3213557220708447
2023-02-04,HSE Dublin and North East,0.41958715758468335
2023-02-04,HSE Dublin and South East,0.3652098533283189
2023-02-04,HSE Mid West,0.8037527072758037
2023-02-04,HSE South West,1.2207923076923077
2023-02-04,HSE West and North West,1.2398778662420382
2023-02-05,HSE Dublin and Midlands,0.8221768937329701
2023-02-05,HSE Dublin and North East,0.5944151399116347
2023-02-05,HSE Dublin and South East,1.2051925159834525
2023-02-05,HSE Mid West,1.0483730964467006
2023-02-05,HSE South West,1.2207923076923075
2023-02-05,HSE West and North West,1.1491550955414014
2023-02-06,HSE Dublin and Midlands,1.2626288010899183
2023-02-06,HSE Dublin and North East,0.5944151399116347
2023-02-06,HSE Dublin and South East,1.8260492666415946
2023-02-06,HSE Mid West,1.2580477157360408
2023-02-06,HSE South West,1.7017104895104893
2023-02-06,HSE West and North West,1.874937261146497
2023-02-07,HSE Dublin and Midlands,2.4665306811989103
2023-02-07,HSE Dublin and North East,1.503520648011782
2023-02-07,HSE Dublin and South East,3.359930650620534
2023-02-07,HSE Mid West,1.6075054145516074
2023-02-07,HSE South West,1.5167419580419579
2023-02-07,HSE West and North West,2.782164968152866
2023-02-08,HSE Dublin and Midlands,2.642711444141689
2023-02-08,HSE Dublin and North East,1.2587614727540501
2023-02-08,HSE Dublin and South East,3.2138467092892067
2023-02-08,HSE Mid West,1.5026681049069375
2023-02-08,HSE South West,2.1086412587412586
2023-02-08,HSE West and North West,2.6309603503184715
2023-02-09,HSE Dublin and Midlands,3.5823421798365125
2023-02-09,HSE Dublin and North East,1.25876147275405
2023-02-09,HSE Dublin and South East,2.6660319292967283
2023-02-09,HSE Mid West,1.4677223350253807
2023-02-09,HSE South West,1.3317734265734265
2023-02-09,HSE West and North West,1.9656600318471338
2023-02-10,HSE Dublin and Midlands,2.7601652861035424
2023-02-10,HSE Dublin and North East,1.0839334904270985
2023-02-10,HSE Dublin and South East,1.8625702519744265
2023-02-10,HSE Mid West,1.6075054145516074
2023-02-10,HSE South West,1.0728174825174825
2023-02-10,HSE West and North West,1.5422871019108282
2023-02-11,HSE Dublin and Midlands,1.5562634059945506
2023-02-11,HSE Dublin and North East,0.6643463328424153
2023-02-11,HSE Dublin and South East,1.022587589319293
2023-02-11,HSE Mid West,0.8037527072758037
2023-02-11,HSE South West,1.2207923076923075
2023-02-11,HSE West and North West,0.9072277070063695
2023-02-12,HSE Dublin and Midlands,2.3490768392370573
2023-02-12,HSE Dublin and North East,0.9440711045655376
2023-02-12,HSE Dublin and South East,1.3877974426476118
2023-02-12,HSE Mid West,1.0483730964467006
2023-02-12,HSE South West,1.4797482517482516
2023-02-12,HSE West and North West,1.391082484076433
2023-02-13,HSE Dublin and Midlands,3.699796021798365
2023-02-13,HSE Dublin and North East,1.503520648011782
2023-02-13,HSE Dublin and South East,2.6660319292967283
2023-02-13,HSE Mid West,1.5026681049069375
2023-02-13,HSE South West,2.29360979020979
2023-02-13,HSE West and North West,2.0866237261146496
2023-02-14,HSE Dublin and Midlands,3.0537998910081745
2023-02-14,HSE Dublin and North East,1.7133142268041237
2023-02-14,HSE Dublin and South East,2.2277801053027453
2023-02-14,HSE Mid West,1.7123427241962776
2023-02-14,HSE South West,2.145634965034965
2023-02-14,HSE West and North West,2.2075874203821657
2023-02-15,HSE Dublin and Midlands,2.4078037602179836
2023-02-15,HSE Dublin and North East,1.8182110162002947
2023-02-15,HSE Dublin and South East,2.337343061301241
2023-02-15,HSE Mid West,1.432776565143824
2023-02-15,HSE South West,2.9594965034965037
2023-02-15,HSE West and North West,2.9031286624203823
2023-02-16,HSE Dublin and Midlands,2.8188922070844686
2023-02-16,HSE Dublin and North East,2.727316524300442
2023-02-16,HSE Dublin and South East,1.9356122226400903
2023-02-16,HSE Mid West,1.3978307952622675
2023-02-16,HSE South West,2.5895594405594404
2023-02-16,HSE West and North West,2.7821649681528666
2023-02-17,HSE Dublin and Midlands,2.4078037602179836
2023-02-17,HSE Dublin and North East,2.972075699558174
2023-02-17,HSE Dublin and South East,2.3738640466340732
2023-02-17,HSE Mid West,1.6424511844331642
2023-02-17,HSE South West,2.034653846153846
2023-02-17,HSE West and North West,2.6007194267515925
2023-02-18,HSE Dublin and Midlands,1.5856268664850137
2023-02-18,HSE Dublin and North East,1.2587614727540501
2023-02-18,HSE Dublin and South East,1.4973603986461077
2023-02-18,HSE Mid West,1.0833188663282574
2023-02-18,HSE South West,1.7387041958041958
2023-02-18,HSE West and North West,2.1471055732484077
2023-02-19,HSE Dublin and Midlands,1.8498980108991825
2023-02-19,HSE Dublin and North East,2.4475917525773196
2023-02-19,HSE Dublin and South East,1.7530072959759309
2023-02-19,HSE Mid West,1.7472884940778344
2023-02-19,HSE South West,2.404590909090909
2023-02-19,HSE West and North West,3.1752969745222934
2023-02-20,HSE Dublin and Midlands,2.6720749046321526
2023-02-20,HSE Dublin and North East,3.496559646539028
2023-02-20,HSE Dublin and South East,2.1912591199699136
2023-02-20,HSE Mid West,2.131691962774958
2023-02-20,HSE South West,2.552565734265734
2023-02-20,HSE West and North West,3.810356369426752
2023-02-21,HSE Dublin and Midlands,3.5823421798365125
2023-02-21,HSE Dublin and North East,3.4615940500736375
2023-02-21,HSE Dublin and South East,2.154738134637082
2023-02-21,HSE Mid West,2.026854653130288
2023-02-21,HSE South West,3.1444650349650347
2023-02-21,HSE West and North West,3.024092356687898
2023-02-22,HSE Dublin and Midlands,3.1712537329700274
2023-02-22,HSE Dublin and North East,3.0769724889543446
2023-02-22,HSE Dublin and South East,2.154738134637082
2023-02-22,HSE Mid West,2.131691962774958
2023-02-22,HSE South West,2.330603496503496
2023-02-22,HSE West and North West,2.4797557324840764
2023-02-23,HSE Dublin and Midlands,4.140247929155313
2023-02-23,HSE Dublin and North East,1.4685550515463919
2023-02-23,HSE Dublin and South East,1.8625702519744265
2023-02-23,HSE Mid West,1.5376138747884942
2023-02-23,HSE South West,2.8485153846153843
2023-02-23,HSE West and North West,2.328551114649682
2023-02-24,HSE Dublin and Midlands,2.6427114441416895
2023-02-24,HSE Dublin and North East,1.9930389985272459
2023-02-24,HSE Dublin and South East,2.0816961639714178
2023-02-24,HSE Mid West,1.6075054145516074
2023-02-24,HSE South West,2.071647552447552
2023-02-24,HSE West and North West,1.874937261146497
2023-02-25,HSE Dublin and Midlands,1.5856268664850137
2023-02-25,HSE Dublin and North East,0.034965596465390276
2023-02-25,HSE Dublin and South East,0.7669406919894698
2023-02-25,HSE Mid West,0.4892407783417936
2023-02-25,HSE South West,1.5167419580419579
2023-02-25,HSE West and North West,2.1471055732484077
2023-02-26,HSE Dublin and Midlands,1.7324441689373298
2023-02-26,HSE Dublin and North East,0.8391743151693667
2023-02-26,HSE Dublin and South East,1.5704023693117715
2023-02-26,HSE Mid West,1.3628850253807108
2023-02-26,HSE South West,1.5907293706293706
2023-02-26,HSE West and North West,2.66120127388535
2023-02-27,HSE Dublin and Midlands,3.2593441144414173
2023-02-27,HSE Dublin and North East,2.1329013843888074
2023-02-27,HSE Dublin and South East,2.0816961639714178
2023-02-27,HSE Mid West,1.6075054145516074
2023-02-27,HSE South West,2.145634965034965
2023-02-27,HSE West and North West,3.417224363057325
2023-02-28,HSE Dublin and Midlands,2.8482556675749318
2023-02-28,HSE Dublin and North East,1.8881422091310753
2023-02-28,HSE Dublin and South East,2.848636855960888
2023-02-28,HSE Mid West,1.7822342639593909
2023-02-28,HSE South West,2.3675972027972025
2023-02-28,HSE West and North West,2.2680692675159237
2023-03-01,HSE Dublin and Midlands,2.8776191280653953
2023-03-01,HSE Dublin and North East,1.8531766126656848
2023-03-01,HSE Dublin and South East,3.3964516359533663
2023-03-01,HSE Mid West,1.991908883248731
2023-03-01,HSE South West,1.9606664335664337
2023-03-01,HSE West and North West,2.2680692675159237
2023-03-02,HSE Dublin and Midlands,2.1435326158038146
2023-03-02,HSE Dublin and North East,1.5035206480117818
2023-03-02,HSE Dublin and South East,1.9721332079729224
2023-03-02,HSE Mid West,2.2365292724196277
2023-03-02,HSE South West,1.4797482517482516
2023-03-02,HSE West and North West,2.2075874203821657
2023-03-03,HSE Dublin and Midlands,2.3784402997275205
2023-03-03,HSE Dublin and North East,1.0140022974963183
2023-03-03,HSE Dublin and South East,1.8260492666415948
2023-03-03,HSE Mid West,1.3978307952622675
2023-03-03,HSE South West,1.8496853146853145
2023-03-03,HSE West and North West,1.5120461783439492
2023-03-04,HSE Dublin and Midlands,1.4388095640326974
2023-03-04,HSE Dublin and North East,1.1188990868924888
2023-03-04,HSE Dublin and South East,1.2051925159834525
2023-03-04,HSE Mid West,0.7688069373942471
2023-03-04,HSE South West,1.886679020979021
2023-03-04,HSE West and North West,1.2701187898089172
2023-03-05,HSE Dublin and Midlands,2.7014383651226157
2023-03-05,HSE Dublin and North East,0.8042087187039765
2023-03-05,HSE Dublin and South East,1.7530072959759309
2023-03-05,HSE Mid West,1.1532104060913706
2023-03-05,HSE South West,2.034653846153846
2023-03-05,HSE West and North West,1.78421449044586
2023-03-06,HSE Dublin and Midlands,3.406161416893733
2023-03-06,HSE Dublin and North East,1.1538646833578794
2023-03-06,HSE Dublin and South East,2.7755948852952237
2023-03-06,HSE Mid West,1.6075054145516074
2023-03-06,HSE South West,2.663546853146853
2023-03-06,HSE West and North West,2.5704785031847135
2023-03-07,HSE Dublin and Midlands,3.787886403269755
2023-03-07,HSE Dublin and North East,1.538486244477172
2023-03-07,HSE Dublin and South East,1.8625702519744267
2023-03-07,HSE Mid West,1.432776565143824
2023-03-07,HSE South West,3.2554461538461537
2023-03-07,HSE West and North West,2.9333695859872613
2023-03-08,HSE Dublin and Midlands,4.169611389645777
2023-03-08,HSE Dublin and North East,2.3077293667157583
2023-03-08,HSE Dublin and South East,2.0086541933057545
2023-03-08,HSE Mid West,1.6424511844331642
2023-03-08,HSE South West,3.5144020979020976
2023-03-08,HSE West and North West,3.1450560509554144
2023-03-09,HSE Dublin and Midlands,3.9934306267029975
2023-03-09,HSE Dublin and North East,1.0839334904270985
2023-03-09,HSE Dublin and South East,2.5564689732982324
2023-03-09,HSE Mid West,1.991908883248731
2023-03-09,HSE South West,3.699370629370629
2023-03-09,HSE West and North West,2.66120127388535
2023-03-10,HSE Dublin and Midlands,3.4942517983651227
2023-03-10,HSE Dublin and North East,1.014002297496318
2023-03-10,HSE Dublin and South East,2.337343061301241
2023-03-10,HSE Mid West,1.7123427241962776
2023-03-10,HSE South West,2.367597202797203
2023-03-10,HSE West and North West,2.812405891719745
2023-03-11,HSE Dublin and Midlands,2.5546210626702996
2023-03-11,HSE Dublin and North East,0.5944151399116347
2023-03-11,HSE Dublin and South East,1.4608394133132756
2023-03-11,HSE Mid West,0.8736442470389172
2023-03-11,HSE South West,2.1086412587412586
2023-03-11,HSE West and North West,1.391082484076433
2023-03-12,HSE Dublin and Midlands,2.6427114441416895
2023-03-12,HSE Dublin and North East,0.9790367010309279
2023-03-12,HSE Dublin and South East,2.410385031966905
2023-03-12,HSE Mid West,1.4677223350253807
2023-03-12,HSE South West,2.7005405594405594
2023-03-12,HSE West and North West,2.0261418789808916
2023-03-13,HSE Dublin and Midlands,3.3767979564032697
2023-03-13,HSE Dublin and North East,1.8182110162002945
2023-03-13,HSE Dublin and South East,2.775594885295224
2023-03-13,HSE Mid West,1.887071573604061
2023-03-13,HSE South West,3.1074713286713287
2023-03-13,HSE West and North West,2.9333695859872613
2023-03-14,HSE Dublin and Midlands,4.052157547683923
2023-03-14,HSE Dublin and North East,1.8531766126656848
2023-03-14,HSE Dublin and South East,2.3008220759684095
2023-03-14,HSE Mid West,1.8171800338409476
2023-03-14,HSE South West,3.2554461538461537
2023-03-14,HSE West and North West,3.1752969745222934
2023-03-15,HSE Dublin and Midlands,4.228338310626703
2023-03-15,HSE Dublin and North East,0.9440711045655376
2023-03-15,HSE Dublin and South East,2.7025529146295604
2023-03-15,HSE Mid West,2.551041201353638
2023-03-15,HSE South West,2.774527972027972
2023-03-15,HSE West and North West,3.56842898089172
2023-03-16,HSE Dublin and Midlands,2.7601652861035424
2023-03-16,HSE Dublin and North East,1.1538646833578792
2023-03-16,HSE Dublin and South East,1.679965325310267
2023-03-16,HSE Mid West,2.5859869712351946
2023-03-16,HSE South West,2.5895594405594404
2023-03-16,HSE West and North West,3.114815127388535
2023-03-17,HSE Dublin and Midlands,1.8498980108991825
2023-03-17,HSE Dublin and North East,1.0489678939617084
2023-03-17,HSE Dublin and South East,0.6573777359909742
2023-03-17,HSE Mid West,0.27956615905245347
2023-03-17,HSE South West,1.7017104895104895
2023-03-17,HSE West and North West,2.0866237261146496
2023-03-18,HSE Dublin and Midlands,1.4388095640326977
2023-03-18,HSE Dublin and North East,0.8042087187039764
2023-03-18,HSE Dublin and South East,1.6069233546446033
2023-03-18,HSE Mid West,0.3145119289340102
2023-03-18,HSE South West,1.6647167832167833
2023-03-18,HSE West and North West,2.1773464968152867
2023-03-19,HSE Dublin and Midlands,2.5839845231607628
2023-03-19,HSE Dublin and North East,1.3286926656848306
2023-03-19,HSE Dublin and South East,2.1912591199699136
2023-03-19,HSE Mid West,1.1881561759729273
2023-03-19,HSE South West,1.8126916083916083
2023-03-19,HSE West and North West,2.9031286624203823
2023-03-20,HSE Dublin and Midlands,3.3474344959128066
2023-03-20,HSE Dublin and North East,1.993038998527246
2023-03-20,HSE Dublin and South East,2.8851578412937195
2023-03-20,HSE Mid West,2.201583502538071
2023-03-20,HSE South West,2.811521678321678
2023-03-20,HSE West and North West,3.3567425159235666
2023-03-21,HSE Dublin and Midlands,4.19897485013624
2023-03-21,HSE Dublin and North East,1.6084174374079527
2023-03-21,HSE Dublin and South East,3.031241782625047
2023-03-21,HSE Mid West,2.341366582064298
2023-03-21,HSE South West,3.29243986013986
2023-03-21,HSE West and North West,3.205537898089172
2023-03-22,HSE Dublin and Midlands,3.3474344959128066
2023-03-22,HSE Dublin and North East,1.3986238586156112
2023-03-22,HSE Dublin and South East,2.848636855960888
2023-03-22,HSE Mid West,2.341366582064298
2023-03-22,HSE South West,2.737534265734266
2023-03-22,HSE West and North West,3.5381880573248408
2023-03-23,HSE Dublin and Midlands,3.2299806539509537
2023-03-23,HSE Dublin and North East,2.097935787923417
2023-03-23,HSE Dublin and South East,2.7025529146295604
2023-03-23,HSE Mid West,2.0967461928934013
2023-03-23,HSE South West,2.848515384615385
2023-03-23,HSE West and North West,3.114815127388535
2023-03-24,HSE Dublin and Midlands,2.6427114441416895
2023-03-24,HSE Dublin and North East,1.503520648011782
2023-03-24,HSE Dublin and South East,2.2643010906355774
2023-03-24,HSE Mid West,1.6075054145516074
2023-03-24,HSE South West,2.182628671328671
2023-03-24,HSE West and North West,3.3869834394904457
2023-03-25,HSE Dublin and Midlands,2.4958941416893734
2023-03-25,HSE Dublin and North East,0.9091055081001472
2023-03-25,HSE Dublin and South East,1.314755471981948
2023-03-25,HSE Mid West,1.0483730964467006
2023-03-25,HSE South West,1.6277230769230768
2023-03-25,HSE West and North West,2.2680692675159237
2023-03-26,HSE Dublin and Midlands,2.8776191280653953
2023-03-26,HSE Dublin and North East,1.888142209131075
2023-03-26,HSE Dublin and South East,1.314755471981948
2023-03-26,HSE Mid West,0.9435357868020305
2023-03-26,HSE South West,1.9606664335664334
2023-03-26,HSE West and North West,3.0543332802547773
2023-03-27,HSE Dublin and Midlands,4.610063297002725
2023-03-27,HSE Dublin and North East,2.342694963181149
2023-03-27,HSE Dublin and South East,2.4834270026325687
2023-03-27,HSE Mid West,1.6424511844331642
2023-03-27,HSE South West,2.8115216783216783
2023-03-27,HSE West and North West,3.810356369426752
2023-03-28,HSE Dublin and Midlands,3.2006171934604906
2023-03-28,HSE Dublin and North East,2.5175229455081
2023-03-28,HSE Dublin and South East,2.848636855960888
2023-03-28,HSE Mid West,2.131691962774958
2023-03-28,HSE South West,3.218452447552447
2023-03-28,HSE West and North West,4.294211146496815
2023-03-29,HSE Dublin and Midlands,3.1712537329700274
2023-03-29,HSE Dublin and North East,2.132901384388807
2023-03-29,HSE Dublin and South East,2.3738640466340732
2023-03-29,HSE Mid West,2.3763123519458547
2023-03-29,HSE South West,3.514402097902098
2023-03-29,HSE West and North West,3.175296974522293
2023-03-30,HSE Dublin and Midlands,2.4958941416893734
2023-03-30,HSE Dublin and North East,1.6783486303387334
2023-03-30,HSE Dublin and South East,2.629510943963896
2023-03-30,HSE Mid West,1.3978307952622675
2023-03-30,HSE South West,3.1074713286713287
2023-03-30,HSE West and North West,2.328551114649682
2023-03-31,HSE Dublin and Midlands,3.0244364305177114
2023-03-31,HSE Dublin and North East,1.2937270692194403
2023-03-31,HSE Dublin and South East,1.716486310643099
2023-03-31,HSE Mid West,1.5376138747884942
2023-03-31,HSE South West,2.3675972027972025
2023-03-31,HSE West and North West,2.2680692675159237
2023-04-01,HSE Dublin and Midlands,1.9379883923705723
2023-04-01,HSE Dublin and North East,0.6993119293078056
2023-04-01,HSE Dublin and South East,0.36520985332831896
2023-04-01,HSE Mid West,1.223101945854484
2023-04-01,HSE South West,2.182628671328671
2023-04-01,HSE West and North West,1.693491719745223
2023-04-02,HSE Dublin and Midlands,2.6133479836512263
2023-04-02,HSE Dublin and North East,1.363658262150221
2023-04-02,HSE Dublin and South East,1.059108574652125
2023-04-02,HSE Mid West,1.7123427241962776
2023-04-02,HSE South West,2.1086412587412586
2023-04-02,HSE West and North West,2.6612012738853505
2023-04-03,HSE Dublin and Midlands,3.3474344959128066
2023-04-03,HSE Dublin and North East,2.4825573490427097
